UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
190372,18,19,16,50,52,49,50,52,49,0,0,0
190415,11,9,12,59,60,58,59,60,58,0,0,0
190451,72,100,70,74,100,71,57,100,52,17,0,19
190503,97,95,98,33,40,28,33,40,28,0,0,0
190512,41,41,40,21,24,18,21,24,18,0,0,0
190549,50,47,52,15,16,14,15,15,14,0,0,0
190567,51,44,56,13,16,12,13,16,11,0,0,0
190594,40,43,39,20,20,20,20,20,20,0,0,0
190600,37,35,40,22,21,22,21,21,22,0,0,0
190637,47,43,50,14,15,14,14,14,14,0,0,0
190646,78,77,80,9,8,9,8,8,8,0,0,0
190655,79,77,81,17,18,16,15,16,15,2,2,1
190664,53,51,55,16,17,15,16,17,15,0,0,0
190691,53,49,55,10,9,11,10,9,11,0,0,0
190707,42,50,40,80,100,75,80,100,75,0,0,0
190716,83,78,85,18,19,18,18,19,17,0,0,0
190725,62,59,63,19,19,20,19,19,20,0,0,0
190752,88,88,,100,100,,100,100,,0,0,
190761,75,70,77,14,16,12,14,16,12,0,0,0
190956,40,,40,0,,0,0,,0,0,,0
190983,83,80,84,12,10,12,12,10,12,0,0,0
191126,59,52,61,50,49,50,49,47,49,2,2,2
191205,47,48,45,46,53,36,46,52,36,1,1,0
191241,53,52,53,8,9,8,8,9,8,0,0,0
191515,18,19,18,32,31,33,32,31,33,0,0,0
191533,93,90,95,12,16,9,12,16,9,0,0,0
191621,92,89,94,20,24,17,20,24,17,0,0,0
191630,62,61,63,16,16,16,16,16,16,0,0,0
191649,69,64,73,8,10,7,8,10,7,0,0,0
191676,80,78,81,21,25,19,21,25,19,0,0,0
191931,86,83,88,8,10,7,8,10,7,0,0,0
191940,50,47,51,85,59,88,85,59,88,0,0,0
191968,76,76,75,10,11,10,10,11,10,0,0,0
192004,98,94,100,65,70,62,65,70,62,0,0,0
192040,58,47,64,52,61,49,52,61,49,0,0,0
192110,8,6,10,67,79,57,67,79,57,0,0,0
192192,91,86,93,16,16,16,16,16,16,0,0,0
192271,84,73,86,19,24,18,18,23,17,1,1,1
192323,75,73,75,12,13,11,12,13,11,0,0,0
192448,85,85,85,9,10,9,9,10,9,0,0,0
192509,82,90,79,80,60,87,79,60,86,1,0,1
192624,95,95,,100,100,,100,100,,0,0,
192703,78,77,78,12,14,9,12,14,9,0,0,0
192712,42,42,42,23,21,25,23,21,25,0,0,0
192749,90,87,91,9,10,9,9,10,9,0,0,0
192785,36,28,40,40,30,41,22,20,22,18,10,19
192800,100,,100,0,,0,0,,0,0,,0
192819,55,59,52,17,17,17,17,17,17,0,0,0
192864,88,83,90,9,8,9,9,8,9,0,0,0
192925,72,73,71,41,36,43,41,36,43,0,0,0
192961,100,,100,100,,100,0,,0,100,,100
193016,82,75,85,17,17,17,17,17,17,0,0,0
193052,90,90,,83,83,,83,83,,0,0,
193061,70,70,,100,100,,100,100,,0,0,
193070,84,84,,88,88,,88,88,,0,0,
193122,,,,,,,,,,,,
193247,86,86,,86,86,,86,86,,0,0,
