INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
University of Hartford,CT,3.0,0,146214570.0,6015.0
Holy Apostles College and Seminary,CT,4.0,0,4777242.0,719.0
Mitchell College,CT,3.0,0,17314756.0,442.0
University of New Haven,CT,3.0,0,198879363.0,9229.0
Paier College,CT,,0,,
Post University,CT,2.0,0,234070625.0,16178.0
Quinnipiac University,CT,3.0,0,283263185.0,9424.0
Sacred Heart University,CT,4.0,0,259423545.0,11022.0
University of Saint Joseph,CT,4.0,0,62777000.0,1952.0
Southern Connecticut State University,CT,1.0,0,245635921.0,9377.0
Trinity College,CT,3.0,0,160887776.0,2238.0
United States Coast Guard Academy,CT,1.0,0,128099881.0,1108.0
Wesleyan University,CT,3.0,0,214664000.0,4011.0
Western Connecticut State University,CT,1.0,0,125366659.0,4169.0
Yale University,CT,3.0,1,5306601905.0,15564.0
Delaware Technical Community College-Terry,DE,1.0,0,169430617.0,13337.0
Delaware State University,DE,1.0,0,208346417.0,5327.0
University of Delaware,DE,1.0,1,1169712722.0,24412.0
Goldey-Beacom College,DE,3.0,0,18686912.0,1001.0
Wilmington University,DE,3.0,0,112065112.0,13746.0
American University,DC,4.0,1,597978000.0,12321.0
The Catholic University of America,DC,4.0,1,244230524.0,5243.0
University of the District of Columbia,DC,1.0,0,194000461.0,4202.0
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,4.0,0,8027749.0,74.0
Gallaudet University,DC,3.0,0,171880548.0,1335.0
George Washington University,DC,3.0,1,1734559000.0,25374.0
Georgetown University,DC,4.0,1,1692716000.0,20031.0
Howard University,DC,3.0,1,733188000.0,14890.0
Strayer University-District of Columbia,DC,2.0,0,3660770.0,188.0
Trinity Washington University,DC,4.0,0,34522848.0,1948.0
Wesley Theological Seminary,DC,4.0,0,12922580.0,374.0
Baptist University of Florida,FL,4.0,0,7537021.0,717.0
Barry University,FL,4.0,0,128651782.0,6825.0
Bethune-Cookman University,FL,4.0,0,58776387.0,2853.0
Lynn University,FL,3.0,0,84501136.0,3514.0
Eastern Florida State College,FL,1.0,0,130216584.0,14053.0
Broward College,FL,1.0,0,295384606.0,30728.0
Albizu University-Miami,FL,3.0,0,13598397.0,818.0
College of Central Florida,FL,1.0,0,85526251.0,5928.0
University of Central Florida,FL,1.0,1,1325621058.0,69713.0
Chipola College,FL,1.0,0,27870768.0,1934.0
Daytona State College,FL,1.0,0,142669429.0,12820.0
South University-West Palm Beach,FL,2.0,0,13970129.0,433.0
Eckerd College,FL,4.0,0,78182581.0,1893.0
Florida SouthWestern State College,FL,1.0,0,132759241.0,14301.0
Edward Waters University,FL,4.0,0,26677962.0,1177.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,3.0,0,282528000.0,11426.0
Florida Agricultural and Mechanical University,FL,1.0,0,346665996.0,9313.0
Florida Atlantic University,FL,1.0,1,665121771.0,31607.0
Florida State College at Jacksonville,FL,1.0,0,222441546.0,23556.0
Flagler College,FL,3.0,0,72798563.0,2425.0
Florida College,FL,4.0,0,23892510.0,728.0
AdventHealth University,FL,4.0,0,39302511.0,1861.0
Florida Institute of Technology,FL,3.0,0,162619731.0,8992.0
Florida International University,FL,1.0,1,1243499206.0,54723.0
The College of the Florida Keys,FL,1.0,0,20990162.0,1025.0
Florida Memorial University,FL,4.0,0,43555118.0,1277.0
Florida Southern College,FL,4.0,0,88742199.0,3211.0
Florida State University,FL,1.0,1,1672487912.0,43889.0
University of Florida,FL,1.0,1,4900183000.0,56311.0
Full Sail University,FL,2.0,0,486539693.0,27169.0
Gulf Coast State College,FL,1.0,0,70146260.0,5426.0
Hillsborough Community College,FL,1.0,0,235383255.0,21483.0
Hobe Sound Bible College,FL,4.0,0,4260922.0,152.0
Indian River State College,FL,1.0,0,173142265.0,15429.0
Jacksonville University,FL,3.0,0,111062251.0,4247.0
Keiser University-Ft Lauderdale,FL,3.0,0,471442496.0,20888.0
Florida Gateway College,FL,1.0,0,39839648.0,2921.0
Lake-Sumter State College,FL,1.0,0,54124177.0,5810.0
Luther Rice College & Seminary,GA,4.0,0,3970153.0,508.0
State College of Florida-Manatee-Sarasota,FL,1.0,0,105472833.0,8750.0
Miami Dade College,FL,1.0,0,636798146.0,58941.0
University of Miami,FL,3.0,1,3466203563.0,19852.0
